Year;Country;pais_iso;continente;ECI;ECI+
1965;Senegal;sen;af;-0.621901;-0.950185
1965;Togo;tgo;af;-1.16107;-1.54624
1965;Tunisia;tun;af;-0.25883;-0.3017
1965;Tanzania;tza;af;-1.27937;-1.22363
1965;South Africa;zaf;af;-0.350745;0.156504
1965;Zambia;zmb;af;-0.774049;-0.449371
1965;Zimbabwe;zwe;af;-0.333738;-0.355383
1965;China;chn;as;0.523755;0.716809
1965;Hong Kong;hkg;as;1.23144;1.2851
1965;Indonesia;idn;as;-1.27578;-0.808538
1965;India;ind;as;-0.042813;0.367193
1965;Iran;irn;as;-0.662454;-0.582969
1965;Israel;isr;as;0.989905;0.786277
1965;Jordan;jor;as;0.348411;-0.130495
1965;Japan;jpn;as;1.93529;1.72026
1965;Cambodia;khm;as;-0.73646;-0.667543
1965;South Korea;kor;as;0.689753;0.68569
1965;Kuwait;kwt;as;-0.804301;-0.829374
1965;Lebanon;lbn;as;0.099963;0.393712
1965;Sri Lanka;lka;as;-1.14666;-1.30448
1965;Burma;mmr;as;-1.0672;-1.3294
1965;Malaysia;mys;as;-0.737625;-0.074069
1965;Oman;omn;as;-0.567293;-0.011522
1965;Pakistan;pak;as;-0.186295;0.015685
1965;Philippines;phl;as;-0.610326;-0.693585
1965;Qatar;qat;as;-0.149036;-0.385953
1965;Saudi Arabia;sau;as;-0.67636;-0.905052
1965;Singapore;sgp;as;0.273399;0.56742
1965;Syria;syr;as;-0.366523;-0.193911
1965;Thailand;tha;as;-0.968943;-0.833269
1965;Turkey;tur;as;-0.693839;-0.65598
1965;Vietnam;vnm;as;-0.499506;-0.079726
1965;Albania;alb;eu;-0.144394;-0.454851
1965;Austria;aut;eu;2.06916;1.73877
1965;Belgium;bel;eu;1.66901;1.60983
1965;Bulgaria;bgr;eu;0.637412;0.616839
1965;Switzerland;che;eu;2.18988;1.89057
1965;Germany;deu;eu;2.35278;1.94563
1965;Denmark;dnk;eu;1.46002;1.36862
1965;Spain;esp;eu;0.584555;0.850426
1965;Finland;fin;eu;1.41401;1.26943
1965;France;fra;eu;1.76682;1.60833
1965;United Kingdom;gbr;eu;2.05671;1.79411
1965;Greece;grc;eu;0.137747;0.264593
1965;Hungary;hun;eu;1.18797;1.25591
1965;Ireland;irl;eu;0.989011;1.00952
1965;Italy;ita;eu;1.80755;1.61024
1965;Netherlands;nld;eu;1.37785;1.51946
1965;Norway;nor;eu;1.42403;1.14497
1965;Poland;pol;eu;1.16368;1.16379
1965;Portugal;prt;eu;0.989054;0.810991
1965;Romania;rou;eu;0.386979;0.540004
1965;Sweden;swe;eu;2.06048;1.69363
1965;Canada;can;na;0.718737;1.322
1965;Costa Rica;cri;na;0.50225;0.444459
1965;Dominican Republic;dom;na;-1.10972;-1.08001
1965;Guatemala;gtm;na;-0.009312;0.193042
1965;Honduras;hnd;na;-0.26032;-0.41478
1965;Jamaica;jam;na;-0.149621;-0.613417
1965;Mexico;mex;na;0.088726;0.419394
1965;Nicaragua;nic;na;-0.295313;-0.71195
1965;Panama;pan;na;0.925952;0.822346
1965;El Salvador;slv;na;0.354408;0.46244
1965;Trinidad and Tobago;tto;na;-0.469977;-0.496116
1965;United States;usa;na;1.78979;1.73623
1965;Australia;aus;oc;0.191705;0.846778
1965;New Zealand;nzl;oc;0.276908;0.434093
1965;Argentina;arg;sa;-0.138631;0.21709
1965;Bolivia;bol;sa;-0.708527;-1.54682
1965;Brazil;bra;sa;-0.904464;-0.144959
1965;Chile;chl;sa;-0.096364;0.138815
1965;Colombia;col;sa;-0.244653;0.131376
1965;Ecuador;ecu;sa;-0.456346;-1.05525
1965;Peru;per;sa;-0.735034;-0.679408
1965;Paraguay;pry;sa;-0.757384;-0.84692
1965;Uruguay;ury;sa;0.265711;0.392643
1965;Venezuela;ven;sa;-0.29573;-0.589898
1966;Angola;ago;af;-1.17056;-0.927708
1966;Cote d'Ivoire;civ;af;-0.998812;-1.21121
1966;Cameroon;cmr;af;-1.27345;-0.927492
1966;Republic of the Congo;cog;af;-1.01512;-0.829238
1966;Algeria;dza;af;-0.298926;-0.139213
1966;Egypt;egy;af;-0.121717;0.272907
1966;Ethiopia;eth;af;-0.879627;-0.882983
1966;Gabon;gab;af;-1.51319;-1.9758
1966;Ghana;gha;af;-1.04538;-1.42432
1966;Guinea;gin;af;-1.22868;-1.56746
1966;Kenya;ken;af;-0.848143;-0.509537
1966;Morocco;mar;af;-0.249372;-0.226295
1966;Madagascar;mdg;af;-1.00572;-1.04488
1966;Mozambique;moz;af;-0.925499;-0.73667
1966;Mauritania;mrt;af;-1.11776;-1.21174
1966;Nigeria;nga;af;-1.58372;-1.48252
1966;Sudan;sdn;af;-1.20651;-1.34011
1966;Senegal;sen;af;-0.546367;-1.13266
1966;Togo;tgo;af;-1.16147;-1.67383
1966;Tunisia;tun;af;-0.181228;-0.340066
1966;Tanzania;tza;af;-1.33051;-1.27224
1966;South Africa;zaf;af;-0.246495;0.325466
1966;Zambia;zmb;af;-0.541125;-0.413233
1966;Zimbabwe;zwe;af;0.732448;0.657547
1966;China;chn;as;0.475237;0.674736
1966;Hong Kong;hkg;as;1.29783;1.21052
1966;Indonesia;idn;as;-1.23754;-0.829787
1966;India;ind;as;0.027834;0.362479
1966;Iran;irn;as;-0.774142;-0.690225
1966;Israel;isr;as;0.772181;0.736275
1966;Jordan;jor;as;0.378245;0.207153
1966;Japan;jpn;as;1.87131;1.70618
1966;Cambodia;khm;as;-0.928722;-0.909197
1966;South Korea;kor;as;0.829615;0.694803
1966;Kuwait;kwt;as;-0.878879;-0.6915
